iter	Passed	Remaining
1179	86623	280423
1180	86691	280333
1181	86753	280224
1182	86826	280148
1183	86887	280036
1184	86958	279955
1185	87023	279854
1186	87097	279782
1187	87165	279693
1188	87230	279592
1189	87294	279489
1190	87367	279413
1191	87438	279334
1192	87505	279239
1193	87570	279139
1194	87637	279046
1195	87708	278965
1196	87774	278868
1197	87842	278779
1198	87903	278667
1199	87972	278579
1200	88040	278490
1201	88110	278405
1202	88178	278316
1203	88286	278353
1204	88373	278322
1205	88439	278223
1206	88504	278126
1207	88576	278046
1208	88643	277954
1209	88707	277852
1210	88773	277755
1211	88840	277661
1212	88908	277572
1213	88982	277502
1214	89058	277437
1215	89123	277339
1216	89192	277253
1217	89269	277189
1218	89337	277100
1219	89409	277023
1220	89476	276930
1221	89543	276836
1222	89613	276754
1223	89679	276658
1224	89747	276568
1225	89823	276505
1226	89890	276411
1227	89953	276305
1228	90023	276223
1229	90092	276138
1230	90154	276029
1231	90216	275921
1232	90284	275831
1233	90353	275746
1234	90421	275657
1235	90488	275564
1236	90556	275477
1237	90627	275395
1238	90689	275288
1239	90767	275229
1240	90839	275154
1241	90901	275047
1242	90969	274958
1243	91036	274865
1244	91127	274846
1245	91202	274778
1246	91283	274728
1247	91389	274754
1248	91454	274655
1249	91523	274569
1250	91590	274478
1251	91651	274368
1252	91717	274274
1253	91800	274229
1254	91867	274138
1255	91934	274047
1256	92013	273991
1257	92080	273898
1258	92146	273804
1259	92220	273732
1260	92283	273630
1261	92360	273567
1262	92424	273468
1263	92505	273417
1264	92576	273337
1265	92643	273248
1266	92725	273199
1267	92803	273139
1268	92875	273062
1269	92940	272968
1270	93009	272881
1271	93083	272811
1272	93144	272702
1273	93214	272619
1274	93285	272539
1275	93350	272441
1276	93417	272351
1277	93488	272272
1278	93553	272177
1279	93629	272111
1280	93715	272075
1281	93802	272042
1282	93884	271993
1283	93962	271934
1284	94045	271889
1285	94133	271860
1286	94215	271813
1287	94305	271785
1288	94390	271749
1289	94458	271660
1290	94528	271577
1291	94602	271507
1292	94679	271443
1293	94755	271377
1294	94834	271322
1295	94902	271234
1296	94977	271165
1297	95056	271109
1298	95154	271107
1299	95250	271096
1300	95367	271147
1301	95452	271109
1302	95547	271095
1303	95618	271016
1304	95710	270995
1305	95842	271089
1306	95945	271100
1307	96046	271104
1308	96152	271121
1309	96232	271066
1310	96311	271008
1311	96388	270945
1312	96458	270863
1313	96519	270752
1314	96589	270670
1315	96654	270574
1316	96719	270477
1317	96802	270431
1318	96873	270350
1319	96956	270302
1320	97036	270247
1321	97105	270160
1322	97178	270087
1323	97253	270016
1324	97359	270035
1325	97455	270024
1326	97540	269982
1327	97616	269916
1328	97678	269809
1329	97757	269751
1330	97838	269699
1331	97908	269615
1332	97985	269550
1333	98062	269489
1334	98153	269463
1335	98246	269442
1336	98344	269436
1337	98426	269385
1338	98513	269348
1339	98582	269263
1340	98655	269188
1341	98736	269134
1342	98826	269105
1343	98922	269092
1344	99014	269069
1345	99107	269048
1346	99186	268988
1347	99278	268964
1348	99368	268935
1349	99463	268921
1350	99549	268880
1351	99634	268836
1352	99701	268745
1353	99782	268691
1354	99863	268635
1355	99929	268542
1356	100006	268476
1357	100072	268381
1358	100145	268306
1359	100217	268228
1360	100284	268136
1361	100359	268068
1362	100422	267966
1363	100485	267862
1364	100548	267760
1365	100613	267664
1366	100694	267610
1367	100774	267553
1368	100839	267455
1369	100907	267368
1370	100979	267289
1371	101065	267247
1372	101147	267197
1373	101231	267150
1374	101312	267096
1375	101397	267053
1376	101461	266954
1377	101525	266854
1378	101600	266784
1379	101681	266728
1380	101758	266665
1381	101832	266592
1382	101914	266538
1383	101994	266482
1384	102064	266400
1385	102137	266324
1386	102206	266237
